user_id,amount,location,timestamp,amount_scaled,risk_score,fraud_prediction,fraud_probability
16,16.0,US,2026-05-14 18:55:28.209017,0.0016,0.0016,0,0.0
691,1974.0,US,2026-05-14 18:55:30.232775,0.1974,0.1974,0,0.0
847,1842.0,US,2026-05-14 18:55:32.250429,0.1842,0.1842,0,0.0
366,5338.0,IN,2026-05-14 18:55:34.270989,0.5338,0.5338,0,0.0
925,7021.0,UK,2026-05-14 18:55:36.292206,0.7021,0.7021,0,0.0
705,1472.0,US,2026-05-14 18:55:38.343106,0.1472,0.1472,0,0.0
322,5364.0,US,2026-05-14 18:55:40.367253,0.5364,0.5364,0,0.0
422,2048.0,IN,2026-05-14 18:55:42.386976,0.2048,0.2048,0,0.0
752,8701.0,UK,2026-05-14 18:55:44.406170,0.8701,0.8701,1,1.0
648,6292.0,IN,2026-05-14 18:55:46.423857,0.6292,0.6292,0,0.0
74,4757.0,IN,2026-05-14 18:55:48.443041,0.4757,0.4757,0,0.0
951,5832.0,US,2026-05-14 18:55:50.461138,0.5832,0.5832,0,0.0
648,3634.0,IN,2026-05-14 18:55:52.478754,0.3634,0.3634,0,0.0
785,6847.0,IN,2026-05-14 18:55:54.498048,0.6847,0.6847,0,0.0
966,5488.0,IN,2026-05-14 18:55:56.517507,0.5488,0.5488,0,0.0
605,3190.0,US,2026-05-14 18:55:58.546288,0.319,0.319,0,0.0
762,3301.0,UK,2026-05-14 18:56:00.575305,0.3301,0.3301,0,0.0
20,3660.0,IN,2026-05-14 18:56:02.600834,0.366,0.366,0,0.0
10,3531.0,US,2026-05-14 18:56:04.623925,0.3531,0.3531,0,0.0
100,5612.0,US,2026-05-14 18:56:06.640252,0.5612,0.5612,0,0.0
38,8143.0,UK,2026-05-14 18:56:08.659138,0.8143,0.8143,1,1.0
808,4743.0,UK,2026-05-14 18:56:10.682076,0.4743,0.4743,0,0.0
642,8270.0,US,2026-05-14 18:56:12.701316,0.827,0.827,1,1.0
285,7636.0,IN,2026-05-14 18:56:14.718648,0.7636,0.7636,1,0.51
661,8840.0,IN,2026-05-14 18:56:16.736066,0.884,0.884,1,1.0
474,8067.0,US,2026-05-14 18:56:18.755943,0.8067,0.8067,1,0.96
835,726.0,IN,2026-05-14 18:56:20.777892,0.0726,0.0726,0,0.0
252,5218.0,UK,2026-05-14 18:56:22.800350,0.5218,0.5218,0,0.0
896,7195.0,US,2026-05-14 18:56:24.825353,0.7195,0.7195,1,0.51
379,7931.0,UK,2026-05-14 18:56:26.846766,0.7931,0.7931,1,0.51
997,2182.0,US,2026-05-14 18:56:28.866512,0.2182,0.2182,0,0.0
792,6498.0,UK,2026-05-14 18:56:30.887511,0.6498,0.6498,0,0.0
389,2426.0,US,2026-05-14 18:56:32.910206,0.2426,0.2426,0,0.0
287,3282.0,UK,2026-05-14 18:56:34.932561,0.3282,0.3282,0,0.0
26,2943.0,UK,2026-05-14 18:56:36.956146,0.2943,0.2943,0,0.0
446,2035.0,US,2026-05-14 18:56:38.977956,0.2035,0.2035,0,0.0
829,4519.0,US,2026-05-14 18:56:40.996106,0.4519,0.4519,0,0.0
694,4522.0,IN,2026-05-14 18:56:43.017326,0.4522,0.4522,0,0.0
773,6092.0,IN,2026-05-14 18:56:45.037799,0.6092,0.6092,0,0.0
939,2849.0,UK,2026-05-14 18:56:47.057906,0.2849,0.2849,0,0.0
289,1029.0,IN,2026-05-14 18:56:49.080050,0.1029,0.1029,0,0.0
747,6790.0,UK,2026-05-14 18:56:51.098886,0.679,0.679,0,0.0
349,879.0,US,2026-05-14 18:56:53.116644,0.0879,0.0879,0,0.0
550,3992.0,US,2026-05-14 18:56:55.134560,0.3992,0.3992,0,0.0
614,3937.0,IN,2026-05-14 18:56:57.152447,0.3937,0.3937,0,0.0
543,2471.0,US,2026-05-14 18:56:59.169337,0.2471,0.2471,0,0.0
152,4712.0,UK,2026-05-14 18:57:01.205225,0.4712,0.4712,0,0.0
590,1634.0,IN,2026-05-14 18:57:03.221058,0.1634,0.1634,0,0.0
177,870.0,US,2026-05-14 18:57:05.241907,0.087,0.087,0,0.0
735,52.0,US,2026-05-14 18:57:07.258421,0.0052,0.0052,0,0.0
666,9336.0,UK,2026-05-14 18:57:09.278960,0.9336,0.9336,1,1.0
290,2734.0,IN,2026-05-14 18:57:11.300885,0.2734,0.2734,0,0.0
955,7344.0,US,2026-05-14 18:57:13.322183,0.7344,0.7344,1,0.51
883,7626.0,UK,2026-05-14 18:57:15.345270,0.7626,0.7626,1,0.51
281,7645.0,IN,2026-05-14 18:57:17.366080,0.7645,0.7645,1,0.51
752,2737.0,IN,2026-05-14 18:57:19.395138,0.2737,0.2737,0,0.0
863,4311.0,US,2026-05-14 18:57:21.415876,0.4311,0.4311,0,0.0
886,7197.0,UK,2026-05-14 18:57:23.433078,0.7197,0.7197,1,0.51
