service_name,action,replicas,model_score,event_rate,created_at
fraud-detection,ELEVATED,2,0.92475,8,2026-06-29 20:03:14.069916
fraud-detection,ELEVATED,2,0.91567,7,2026-06-29 20:03:12.093000
fraud-detection,ELEVATED,2,0.9201,6,2026-06-29 20:02:54.951518
fraud-detection,ELEVATED,2,0.91418,5,2026-06-29 20:02:46.864553
fraud-detection,ELEVATED,2,0.97055,2,2026-06-29 20:02:34.654035
fraud-detection,ELEVATED,2,0.91325,6,2026-06-29 20:00:01.243531
fraud-detection,ELEVATED,2,0.9127,6,2026-06-29 19:59:49.129022
fraud-detection,ELEVATED,2,0.89056,7,2026-06-29 19:59:43.003411
fraud-detection,ELEVATED,2,0.88343,7,2026-06-29 19:59:39.015910
fraud-detection,ELEVATED,2,0.87156,7,2026-06-29 19:59:22.782512
fraud-detection,ELEVATED,2,0.8762,8,2026-06-29 19:59:06.675608
fraud-detection,ELEVATED,2,0.86708,9,2026-06-29 19:58:58.536032
fraud-detection,ELEVATED,2,0.87101,8,2026-06-29 19:58:46.475322
fraud-detection,ELEVATED,2,0.87259,7,2026-06-29 19:58:44.405362
fraud-detection,ELEVATED,2,0.87961,7,2026-06-29 19:58:42.383808
fraud-detection,ELEVATED,2,0.8921,6,2026-06-29 19:58:32.354389
fraud-detection,ELEVATED,2,0.88638,6,2026-06-29 19:58:19.934829
fraud-detection,ELEVATED,2,0.86994,7,2026-06-29 19:58:15.906083
fraud-detection,ELEVATED,2,0.8658,8,2026-06-29 19:58:05.803957
fraud-detection,ELEVATED,2,0.86089,7,2026-06-29 19:58:03.790375
fraud-detection,ELEVATED,2,0.86061,7,2026-06-29 19:57:43.694731
fraud-detection,ELEVATED,2,0.86433,7,2026-06-29 19:57:31.013239
fraud-detection,ELEVATED,2,0.86465,6,2026-06-29 19:57:18.973437
fraud-detection,ELEVATED,2,0.87004,5,2026-06-29 19:57:16.883121
fraud-detection,ELEVATED,2,0.86306,7,2026-06-29 19:56:48.662801
fraud-detection,ELEVATED,2,0.86649,7,2026-06-29 19:56:38.446336
fraud-detection,ELEVATED,2,0.85608,6,2026-06-29 19:56:01.821871
fraud-detection,ELEVATED,2,0.85192,6,2026-06-29 19:55:59.816794
fraud-detection,ELEVATED,2,0.85226,5,2026-06-29 19:55:49.718834
fraud-detection,ELEVATED,2,0.86306,7,2026-06-29 19:55:39.558106
fraud-detection,ELEVATED,2,0.86898,6,2026-06-29 19:55:33.514940
fraud-detection,ELEVATED,2,0.89547,6,2026-06-29 19:55:00.619544
fraud-detection,ELEVATED,2,0.90574,5,2026-06-29 19:54:50.477759
fraud-detection,ELEVATED,2,0.91355,6,2026-06-29 19:54:42.404315
fraud-detection,ELEVATED,2,0.92046,5,2026-06-29 19:54:40.365038
fraud-detection,ELEVATED,2,0.92327,12,2026-06-29 19:54:01.814418
fraud-detection,ELEVATED,2,0.91748,14,2026-06-29 19:53:44.899683
fraud-detection,ELEVATED,2,0.91526,14,2026-06-29 19:53:43.649106
fraud-detection,ELEVATED,2,0.91124,13,2026-06-29 19:53:43.606083
fraud-detection,ELEVATED,2,0.91225,13,2026-06-29 19:53:38.966862
fraud-detection,ELEVATED,2,0.92066,12,2026-06-29 19:53:36.556557
fraud-detection,ELEVATED,2,0.91415,12,2026-06-29 19:53:32.558487
fraud-detection,ELEVATED,2,0.91002,12,2026-06-29 19:53:30.502382
fraud-detection,ELEVATED,2,0.91082,12,2026-06-29 19:53:26.443801
fraud-detection,ELEVATED,2,0.90463,11,2026-06-29 19:53:18.333236
fraud-detection,ELEVATED,2,0.89876,11,2026-06-29 19:53:08.221845
fraud-detection,ELEVATED,2,0.90502,10,2026-06-29 19:53:06.192663
fraud-detection,ELEVATED,2,0.89863,12,2026-06-29 19:52:56.163129
fraud-detection,ELEVATED,2,0.89791,11,2026-06-29 19:52:54.082305
fraud-detection,ELEVATED,2,0.90922,12,2026-06-29 19:52:46.012503
fraud-detection,ELEVATED,2,0.89787,12,2026-06-29 19:52:43.971930
fraud-detection,ELEVATED,2,0.89682,12,2026-06-29 19:52:39.951418
fraud-detection,ELEVATED,2,0.8922,11,2026-06-29 19:52:33.840134
fraud-detection,ELEVATED,2,0.89677,10,2026-06-29 19:52:32.114792
fraud-detection,ELEVATED,2,0.88698,10,2026-06-29 19:52:29.823487
fraud-detection,SCALE,3,0.88114,15,2026-06-29 19:52:09.509870
fraud-detection,SCALE,3,0.88209,15,2026-06-29 19:52:01.403666
fraud-detection,ELEVATED,2,0.88351,14,2026-06-29 19:51:59.649196
fraud-detection,ELEVATED,2,0.87859,13,2026-06-29 19:51:57.350118
fraud-detection,ELEVATED,2,0.8837,12,2026-06-29 19:51:53.324229
fraud-detection,ELEVATED,2,0.88423,12,2026-06-29 19:51:47.302255
fraud-detection,ELEVATED,2,0.87736,11,2026-06-29 19:51:45.269467
fraud-detection,ELEVATED,2,0.88347,10,2026-06-29 19:51:41.198852
fraud-detection,ELEVATED,2,0.88708,9,2026-06-29 19:51:30.773038
fraud-detection,ELEVATED,2,0.88819,9,2026-06-29 19:51:28.868948
fraud-detection,ELEVATED,2,0.87671,8,2026-06-29 19:51:26.778594
fraud-detection,ELEVATED,2,0.88383,7,2026-06-29 19:51:24.692730
fraud-detection,ELEVATED,2,0.8908,7,2026-06-29 19:51:20.656206
fraud-detection,ELEVATED,2,0.90535,6,2026-06-29 19:51:18.642502
fraud-detection,ELEVATED,2,0.88877,6,2026-06-29 19:51:10.440764
fraud-detection,ELEVATED,2,0.88822,5,2026-06-29 19:51:06.531621
fraud-detection,ELEVATED,2,0.89783,7,2026-06-29 19:50:29.938795
fraud-detection,ELEVATED,2,0.90635,6,2026-06-29 19:50:23.781542
fraud-detection,ELEVATED,2,0.90466,5,2026-06-29 19:50:11.605461
fraud-detection,ELEVATED,2,0.92403,6,2026-06-29 19:49:39.158393
fraud-detection,ELEVATED,2,0.9238,5,2026-06-29 19:49:37.147615
fraud-detection,ELEVATED,2,0.92984,5,2026-06-29 19:49:35.107749
fraud-detection,ELEVATED,2,0.88873,7,2026-06-29 19:48:46.020917
fraud-detection,ELEVATED,2,0.89228,6,2026-06-29 19:48:39.968252
fraud-detection,ELEVATED,2,0.87524,5,2026-06-29 19:48:35.881362
fraud-detection,ELEVATED,2,0.90382,6,2026-06-29 19:48:23.722412
fraud-detection,ELEVATED,2,0.92329,7,2026-06-29 19:47:59.156513
fraud-detection,ELEVATED,2,0.93398,6,2026-06-29 19:47:57.061838
fraud-detection,ELEVATED,2,0.95576,5,2026-06-29 19:47:51.001696
fraud-detection,ELEVATED,2,0.92461,7,2026-06-29 19:47:32.863162
fraud-detection,ELEVATED,2,0.91821,8,2026-06-29 19:47:24.763537
fraud-detection,ELEVATED,2,0.90834,7,2026-06-29 19:47:20.667661
fraud-detection,ELEVATED,2,0.89824,7,2026-06-29 19:47:13.358779
fraud-detection,ELEVATED,2,0.89525,6,2026-06-29 19:46:50.592271
fraud-detection,ELEVATED,2,0.91264,5,2026-06-29 19:46:44.543599
fraud-detection,ELEVATED,2,0.90944,5,2026-06-29 19:46:34.352500
fraud-detection,ELEVATED,2,0.8975,7,2026-06-29 19:44:26.797539
fraud-detection,ELEVATED,2,0.88505,8,2026-06-29 19:44:14.558220
fraud-detection,ELEVATED,2,0.89308,10,2026-06-29 19:43:56.379319
fraud-detection,ELEVATED,2,0.88525,10,2026-06-29 19:43:52.354525
fraud-detection,ELEVATED,2,0.87688,9,2026-06-29 19:43:48.491349
fraud-detection,ELEVATED,2,0.87562,8,2026-06-29 19:43:46.061409
fraud-detection,ELEVATED,2,0.8645,8,2026-06-29 19:43:29.861229
fraud-detection,ELEVATED,2,0.86786,8,2026-06-29 19:43:25.818417
fraud-detection,ELEVATED,2,0.87615,8,2026-06-29 19:43:15.716350
fraud-detection,ELEVATED,2,0.87557,7,2026-06-29 19:43:07.639995
fraud-detection,ELEVATED,2,0.86868,6,2026-06-29 19:42:59.564238
fraud-detection,ELEVATED,2,0.85472,5,2026-06-29 19:42:57.552153
fraud-detection,ELEVATED,2,0.86124,5,2026-06-29 19:42:53.542474
fraud-detection,ELEVATED,2,0.87238,6,2026-06-29 19:42:37.116540
fraud-detection,ELEVATED,2,0.88278,5,2026-06-29 19:42:26.989173
fraud-detection,ELEVATED,2,0.91121,7,2026-06-29 19:41:54.228756
fraud-detection,ELEVATED,2,0.92055,6,2026-06-29 19:41:50.215474
fraud-detection,ELEVATED,2,0.92848,6,2026-06-29 19:41:44.090944
fraud-detection,ELEVATED,2,0.92777,9,2026-06-29 19:41:13.430005
fraud-detection,ELEVATED,2,0.9113,9,2026-06-29 19:41:07.154388
fraud-detection,ELEVATED,2,0.90586,9,2026-06-29 19:41:05.135275
fraud-detection,ELEVATED,2,0.89995,8,2026-06-29 19:40:59.161056
fraud-detection,ELEVATED,2,0.88581,8,2026-06-29 19:40:47.069833
fraud-detection,ELEVATED,2,0.87547,7,2026-06-29 19:40:40.784341
fraud-detection,ELEVATED,2,0.86034,7,2026-06-29 19:40:24.432530
fraud-detection,ELEVATED,2,0.89128,6,2026-06-29 19:39:51.491849
fraud-detection,ELEVATED,2,0.88737,10,2026-06-29 19:39:28.633646
fraud-detection,ELEVATED,2,0.89921,10,2026-06-29 19:39:22.599034
fraud-detection,ELEVATED,2,0.90987,10,2026-06-29 19:39:10.452146
fraud-detection,ELEVATED,2,0.90383,11,2026-06-29 19:38:56.322275
fraud-detection,ELEVATED,2,0.89463,10,2026-06-29 19:38:52.326244
fraud-detection,ELEVATED,2,0.88541,9,2026-06-29 19:38:50.230325
fraud-detection,ELEVATED,2,0.89412,9,2026-06-29 19:38:48.355902
fraud-detection,ELEVATED,2,0.89861,8,2026-06-29 19:38:44.162867
fraud-detection,ELEVATED,2,0.90155,8,2026-06-29 19:38:32.061308
